from,from_ctry,to,to_ctry,sp_distance,distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km_adj,cost_km_adj,upgrade_cat,ug_cost_km
11,GMB,13,SEN,93502.2496589565,117304.5,167.3,42.0697549312612,100,70.3827,900140.5,2865.90885,3033.20885,2936.29155,23407.076171875,197653.671875,316.46055787529,586643.339355988,586643.339355988,Upgrade,496691.360654737
11,GMB,14,GMB,105495.162729709,115442.5,138.45,50.0292524377032,100,69.2655,0,0,138.45,69.2655,30612.65625,132786.75,190.125826140986,580268.668768505,580268.668768505,Upgrade,491294.139557334
15,SEN,16,MRT,91510.2357522865,103879,156.25,39.889536,100,62.3274,1159498.125,2481.384135,2637.634135,2543.711535,35465.796875,193246.421875,316.907109490171,616710.780377676,616710.780377676,Upgrade,522148.460719765
4,SEN,5,SEN,46281.0901998088,59389,52.8,67.4875,100,35.6334,0,0,52.8,35.6334,13342.845703125,110490.8125,349.773950855957,553052.031734265,553052.031734265,Mixed Works,297726.343750279
4,SEN,17,SEN,63544.0867230124,79957.5,60.45,79.3622828784119,100,47.9745,0,0,60.45,47.9745,11119.3310546875,241352.796875,558.37876280296,562980.432188971,562980.432188971,Mixed Works,303071.132661729
5,SEN,13,SEN,43445.3623415589,44975.5,43.95,61.4,100,26.9853,0,0,43.95,26.9853,12763.69140625,249395.671875,831.258798291953,660876.585137631,660876.585137631,Mixed Works,355771.894999091
5,SEN,17,SEN,82112.7830088755,92795,83.4,66.7589928057554,100,55.677,0,0,83.4,55.677,13118.869140625,334652.78125,611.842774183403,578736.791149595,578736.791149595,Mixed Works,311553.305902198
10,SEN,15,SEN,52262.2973417942,68931,59.7,69.2773869346734,100,41.3586,0,0,59.7,41.3586,5177.1201171875,195415,541.875199051126,512329.003134069,512329.003134069,Mixed Works,275803.780020507
10,SEN,17,SEN,93836.245083748,107994.5,94.5,68.5679365079365,100,64.7967,0,0,94.5,64.7967,3945.953125,225514.125,357.961746211645,478769.171645011,478769.171645011,Mixed Works,257737.404068897
10,SEN,16,MRT,108219.880184134,165686,205.8,48.3049562682216,100,99.4116,1159498.125,2481.384135,2687.184135,2580.795735,10573.462890625,83805.6484375,113.803260407482,489115.055817272,489115.055817272,Upgrade,414117.413925291
12,SEN,14,GMB,110483.824815583,140541,132.1,63.8339137017411,100,84.3246,900140.5,2865.90885,2998.00885,2950.23345,40178.83984375,49797.4453125,66.7090177353752,548900.332393329,548900.332393329,Mixed Works,295491.345605075
12,SEN,18,GNB,126741.963273292,177611,163.9,65.0192800488103,100,106.5666,1059185.625,2957.9091,3121.8091,3064.4757,45478.99609375,394273.3125,453.795842954742,655029.046524511,655029.046524511,Mixed Works,352623.970045695
13,SEN,19,SEN,55200.9612340076,58066,51.45,67.7154518950437,100,34.8396,0,0,51.45,34.8396,18504.466796875,144883.984375,383.729680145752,579722.65948433,579722.65948433,Mixed Works,312084.031689064
13,SEN,14,GMB,80618.0553436747,85947,79.15,65.1524952621605,100,51.5682,900140.5,2865.90885,2945.05885,2917.47705,26030.427734375,228889.453125,423.076048937042,608974.809044293,608974.809044293,Mixed Works,327831.438868844
13,SEN,20,SEN,57544.8184023604,61198,53.9,68.1239332096475,100,36.7188,0,0,53.9,36.7188,20802.017578125,173380.890625,439.056833566968,594675.098976432,594675.098976432,Mixed Works,320133.428282312
8,MRT,21,MRT,243802.84993095,253872.5,187.3,81.3259476775227,100,152.3235,0,0,187.3,152.3235,1469.60595703125,632116.3125,359.819514648917,425444.205518906,425444.205518906,Asphalt Mix Resurfacing,100688.461972808
9,ESH,22,ESH,34068.4933407483,42678.5,38.05,67.2985545335085,100,25.6071,0,0,38.05,25.6071,44742.5390625,90692.7578125,379.379802581326,718763.81361491,718763.81361491,Mixed Works,386934.519662693
17,SEN,19,SEN,55412.068651568,74105.5,70.6,62.979178470255,100,44.4633,0,0,70.6,44.4633,17662.203125,205954.1875,541.085821327963,593540.04069491,593540.04069491,Mixed Works,319522.388574093
8,MRT,16,MRT,175854.335491933,206360.5,296.25,41.7945316455696,100,123.8163,0,0,296.25,123.8163,2211.73193359375,679090.625,565.883361367265,464326.763682387,464326.763682387,Upgrade,393129.993251088
16,MRT,23,MRT,167872.131266914,194882,138.35,84.5169497650885,100,116.9292,0,0,138.35,116.9292,2602.123046875,100905.09375,93.6115509977006,406633.773150668,406633.773150668,Asphalt Mix Resurfacing,96236.659645658
16,MRT,24,SEN,201913.890850423,228693,256.1,53.578992581023,100,137.2158,1159498.125,2481.384135,2737.484135,2618.599935,3075.92822265625,85883.84375,62.1436096057812,400861.175858101,400861.175858101,Upgrade,339395.795559859
